Tool/Module	Version	versionCommand	grepStr	whereToCall
python	2.7.15	python --version	Python	shell
kallisto	0.44.0	kallisto version	kallisto	shell
mapsplice2	2.2.1	mapsplice2 --version	MapSplice	shell
fusioncatcher	1.00	fusioncatcher --version	fusioncatcher	shell
pizzly	0.37.3	pizzly --version	pizzly	shell
seqAn	2.2.0	pizzly --version	SeqAn	shell
starfusion	1.5.0	STAR-Fusion --version	STAR-Fusion	shell
infusion	0.8	infusion --version	InFusion	shell
star	2.6.1a	STAR --version	STAR	shell
samtools	1.9	samtools --version	samtools	shell
htslib	1.9	samtools --version	htslib	shell
trinity	2.5.1	Trinity --version	Trinity version	shell
blastn	2.7.1+	blastn -version	blastn	shell
pysam	0.14.1	pysam.__version__	NA	python
biopython	1.6.8	Bio.__version__	NA	python
matplotlib	2.2.2	matplolib.__version__	NA	python
pandas	0.23.3	pandas.__version__	NA	python
seaborn	0.9.0	seaborn.__version__	NA	python
skewer	0.2.2	skewer --version	NA	shell
